# Numero de nodos n =4+1
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
37 -0.582 1 1.046898807 0.04689880667
38 -0.571 1 1.043267821 0.04326782079
39 -0.56 1 1.037031723 0.03703172332
40 -0.549 1 1.0294907 0.02949070014
41 -0.538 1 1.021631034 0.02163103391
42 -0.527 1 1.014161406 0.0141614055
43 -0.516 1 1.007552521 0.007552521023
44 -0.505 1 1.002077644 0.002077644413
45 -0.494 1 0.9978521234 0.002147876575
46 -0.483 1 0.9948704637 0.005129536312
47 -0.472 1 0.9930399244 0.006960075648
48 -0.461 1 0.9922099753 0.007790024667
49 -0.45 1 0.992197269 0.007802731036
50 -0.439 1 0.9928060383 0.007193961657
51 -0.428 1 0.9938440429 0.006155957104
52 -0.417 1 0.995134342 0.004865658046
53 -0.406 1 0.9965232935 0.00347670648
54 -0.395 1 0.9978852526 0.002114747421
55 -0.384 1 0.9991244863 0.0008755137168
56 -0.373 1 1.000174837 0.0001748372752
57 -0.362 1 1.000997656 0.0009976562973
58 -0.351 1 1.001578496 0.00157849612
59 -0.34 1 1.001923015 0.001923015182
60 -0.329 1 1.002052486 0.002052485555
61 -0.318 1 1.00199924 0.001999239662
62 -0.307 1 1.001802327 0.001802327084
63 -0.296 1 1.00150359 0.001503589586
64 -0.285 1 1.001144302 0.001144301653
65 -0.274 1 1.000762467 0.000762467333
66 -0.263 1 1.000390813 0.0003908134216
67 -0.252 1 1.000055475 5.547517664E-05
68 -0.241 1 0.9997753344 0.0002246656332
69 -0.23 1 0.9995619409 0.0004380590776
70 -0.219 1 0.9994199287 0.0005800713067
71 -0.208 1 0.9993478226 0.0006521774355
72 -0.197 1 0.9993391279 0.0006608720928
73 -0.186 1 0.9993835933 0.0006164066576
74 -0.175 1 0.9994685432 0.0005314567723
75 -0.164 1 0.9995801862 0.00041981379
76 -0.153 1 0.9997048196 0.0002951803883
77 -0.142 1 0.9998298653 0.0001701346589
78 -0.131 1 0.9999446904 5.530957324E-05
79 -0.12 1 1.000041183 4.118323669E-05
80 -0.109 1 1.000114074 0.0001140740712
81 -0.098 1 1.000161005 0.0001610053385
82 -0.087 1 1.000182371 0.0001823712628
83 -0.076 1 1.00018096 0.0001809595001
84 -0.065 1 1.000161437 0.0001614367271
85 -0.054 1 1.000129727 0.0001297269727
86 -0.043 1 1.000092335 9.233503151E-05
87 -0.032 1 1.000055668 5.566775001E-05
88 -0.021 1 1.000025403 2.540344532E-05
89 -0.01 1 1.000005954 5.954447718E-06
90 0.001 1 1.00000006 6.011412235E-08
91 0.012 1 1.000008538 8.538084588E-06
92 0.023 1 1.000030211 3.021056854E-05
93 0.034 1 1.000062011 6.201060329E-05
94 0.045 1 1.000099261 9.926115412E-05
95 0.056 1 1.000136108 0.000136108192
96 0.067 1 1.000166078 0.0001660781114
97 0.078 1 1.000182721 0.0001827205995
98 0.089 1 1.000180291 0.0001802908116
